"product_name","product_url","product_price","product_time_ended","product_number_of_bids","product_duration","product_end_time","product_bidders","product_feedback_name","product_feedback_url"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/184649795992?epid=9030594179&hash=item2afdfc4998%3Ag%3AS-MAAOSwOFZeNtQR&LH_Auction=1&LH_ItemCondition=1000","$310.00","Feb-11 05:17","9 bids","7 days","11 Feb 2021 at 5:12:37am PST","5","User ID
jotay_766046",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/184649795992?epid=9030594179&hash=item2afdfc4998%3Ag%3AS-MAAOSwOFZeNtQR&LH_Auction=1&LH_ItemCondition=1000","$310.00","Feb-11 05:17","9 bids","7 days","11 Feb 2021 at 5:12:37am PST","5","User ID
jotay_766046","https://www.ebay.com/usr/jotay_766046"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/184649795992?epid=9030594179&hash=item2afdfc4998%3Ag%3AS-MAAOSwOFZeNtQR&LH_Auction=1&LH_ItemCondition=1000","$310.00","Feb-11 05:17","9 bids","7 days","11 Feb 2021 at 5:12:37am PST","5","User ID","https://www.ebay.com/usr/jotay_766046"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray (CA)","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray-CA/393118435795?epid=16030599526&hash=item5b87af49d3%3Ag%3AS-MAAOSwOFZeNtQR&LH_Auction=1&LH_ItemCondition=1000","$329.17","Feb-6 16:06","71 bids","5 days","Retracted:","23","",""
"Apple iPad Mini (5th Generation) 64GB Gold Model A2133 BRAND NEW","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Gold-Model-A2133-BRAND-NEW/383922614980?epid=13030600264&hash=item59639232c4%3Ag%3AZ%7EsAAOSwfzJeNtQB&LH_Auction=1&LH_ItemCondition=1000","$317.00","Feb-3 20:00","14 bids","7 days","2 Feb 2021 at 12:49:11pm PST","7","",""
"Apple iPad Mini (5th Generation) 64GB Gold Model A2133 BRAND NEW","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Gold-Model-A2133-BRAND-NEW/383920717409?epid=13030600264&hash=item5963753e61%3Ag%3AZ%7EsAAOSwfzJeNtQB&LH_Auction=1&LH_ItemCondition=1000","$380.00","Feb-2 20:00","24 bids","7 days","2 Feb 2021 at 5:07:16am PST","10","",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Silver","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Silver/164669815814?epid=2301649792&hash=item265715fc06%3Ag%3AlusAAOSwCGhgEKED&LH_Auction=1&LH_ItemCondition=1000","$336.00","Feb-2 15:09","13 bids","7 days","2 Feb 2021 at 3:09:04pm PST","11","",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in -balck","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-balck/233872199209?hash=item3673de8e29%3Ag%3ApmwAAOSwHbVgDQVD&LH_Auction=1&LH_ItemCondition=1000","$305.00","Feb-1 11:02","10 bids","","","","",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/164663940464?epid=9030594179&hash=item2656bc5570%3Ag%3AiWcAAOSwbLlgDJq0&LH_Auction=1&LH_ItemCondition=1000","$327.00","Jan-30 13:57","33 bids","7 days","30 Jan 2021 at 1:54:19pm PST","15","User ID
turbinesurgeon (
Feedback score
953)",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/164663940464?epid=9030594179&hash=item2656bc5570%3Ag%3AiWcAAOSwbLlgDJq0&LH_Auction=1&LH_ItemCondition=1000","$327.00","Jan-30 13:57","33 bids","7 days","30 Jan 2021 at 1:54:19pm PST","15","User ID
turbinesurgeon (
Feedback score
953
)",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/164663940464?epid=9030594179&hash=item2656bc5570%3Ag%3AiWcAAOSwbLlgDJq0&LH_Auction=1&LH_ItemCondition=1000","$327.00","Jan-30 13:57","33 bids","7 days","30 Jan 2021 at 1:54:19pm PST","15","User ID
turbinesurgeon","https://www.ebay.com/usr/turbinesurgeon"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/164663940464?epid=9030594179&hash=item2656bc5570%3Ag%3AiWcAAOSwbLlgDJq0&LH_Auction=1&LH_ItemCondition=1000","$327.00","Jan-30 13:57","33 bids","7 days","30 Jan 2021 at 1:54:19pm PST","15","User ID","https://www.ebay.com/usr/turbinesurgeon"
